response_time,status_code,latency_ms,bytes,method,url
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.018,200,18,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.019,200,19,1280,GET,http://localhost:8000/api/catalog
0.022,200,22,1280,GET,http://localhost:8000/api/catalog
0.019,200,19,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.035,200,35,1280,GET,http://localhost:8000/api/catalog
0.022,200,22,1280,GET,http://localhost:8000/api/catalog
0.025,200,25,1280,GET,http://localhost:8000/api/catalog
0.018,200,18,1280,GET,http://localhost:8000/api/catalog
0.018,200,18,1280,GET,http://localhost:8000/api/catalog
0.018,200,18,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.011,200,11,1280,GET,http://localhost:8000/api/catalog
0.016,200,16,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.017,200,17,1280,GET,http://localhost:8000/api/catalog
0.010,200,10,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.029,200,29,1280,GET,http://localhost:8000/api/catalog
0.022,200,22,1280,GET,http://localhost:8000/api/catalog
0.013,200,13,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.011,200,11,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.017,200,17,1280,GET,http://localhost:8000/api/catalog
0.011,200,11,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.090,500,90,52,GET,http://localhost:8000/api/catalog
0.010,200,10,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.010,200,10,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.019,200,19,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.022,200,22,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.005,200,5,1280,GET,http://localhost:8000/api/catalog
0.026,200,26,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.020,200,20,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.029,200,29,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.029,200,29,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.013,200,13,1280,GET,http://localhost:8000/api/catalog
0.026,200,26,1280,GET,http://localhost:8000/api/catalog
0.030,200,30,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.019,200,19,1280,GET,http://localhost:8000/api/catalog
0.013,200,13,1280,GET,http://localhost:8000/api/catalog
0.017,200,17,1280,GET,http://localhost:8000/api/catalog
0.026,200,26,1280,GET,http://localhost:8000/api/catalog
0.025,200,25,1280,GET,http://localhost:8000/api/catalog
0.017,200,17,1280,GET,http://localhost:8000/api/catalog
0.073,200,73,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.025,200,25,1280,GET,http://localhost:8000/api/catalog
0.024,200,24,1280,GET,http://localhost:8000/api/catalog
0.018,200,18,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.016,200,16,1280,GET,http://localhost:8000/api/catalog
0.022,200,22,1280,GET,http://localhost:8000/api/catalog
0.016,200,16,1280,GET,http://localhost:8000/api/catalog
0.016,200,16,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.016,200,16,1280,GET,http://localhost:8000/api/catalog
0.012,200,12,1280,GET,http://localhost:8000/api/catalog
0.019,200,19,1280,GET,http://localhost:8000/api/catalog
0.019,200,19,1280,GET,http://localhost:8000/api/catalog
0.029,200,29,1280,GET,http://localhost:8000/api/catalog
0.010,200,10,1280,GET,http://localhost:8000/api/catalog
0.025,200,25,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.022,200,22,1280,GET,http://localhost:8000/api/catalog
0.053,200,53,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.026,200,26,1280,GET,http://localhost:8000/api/catalog
0.011,200,11,1280,GET,http://localhost:8000/api/catalog
0.104,500,104,52,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.012,200,12,1280,GET,http://localhost:8000/api/catalog
0.022,200,22,1280,GET,http://localhost:8000/api/catalog
0.025,200,25,1280,GET,http://localhost:8000/api/catalog
0.026,200,26,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.043,200,43,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.005,200,5,1280,GET,http://localhost:8000/api/catalog
0.024,200,24,1280,GET,http://localhost:8000/api/catalog
0.012,200,12,1280,GET,http://localhost:8000/api/catalog
0.012,200,12,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.020,200,20,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.013,200,13,1280,GET,http://localhost:8000/api/catalog
0.011,200,11,1280,GET,http://localhost:8000/api/catalog
0.012,200,12,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.017,200,17,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.022,200,22,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.025,200,25,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.020,200,20,1280,GET,http://localhost:8000/api/catalog
0.010,200,10,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.022,200,22,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.017,200,17,1280,GET,http://localhost:8000/api/catalog
0.025,200,25,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.029,200,29,1280,GET,http://localhost:8000/api/catalog
0.016,200,16,1280,GET,http://localhost:8000/api/catalog
0.024,200,24,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.010,200,10,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.020,200,20,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.013,200,13,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.013,200,13,1280,GET,http://localhost:8000/api/catalog
0.016,200,16,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.017,200,17,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.013,200,13,1280,GET,http://localhost:8000/api/catalog
0.013,200,13,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.016,200,16,1280,GET,http://localhost:8000/api/catalog
0.012,200,12,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.016,200,16,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.010,200,10,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.024,200,24,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.010,200,10,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.030,200,30,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.012,200,12,1280,GET,http://localhost:8000/api/catalog
0.017,200,17,1280,GET,http://localhost:8000/api/catalog
0.017,200,17,1280,GET,http://localhost:8000/api/catalog
0.048,200,48,1280,GET,http://localhost:8000/api/catalog
0.010,200,10,1280,GET,http://localhost:8000/api/catalog
0.022,200,22,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.011,200,11,1280,GET,http://localhost:8000/api/catalog
0.024,200,24,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.026,200,26,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.011,200,11,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.025,200,25,1280,GET,http://localhost:8000/api/catalog
0.012,200,12,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.020,200,20,1280,GET,http://localhost:8000/api/catalog
0.005,200,5,1280,GET,http://localhost:8000/api/catalog
0.018,200,18,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.024,200,24,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.016,200,16,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.017,200,17,1280,GET,http://localhost:8000/api/catalog
0.013,200,13,1280,GET,http://localhost:8000/api/catalog
0.018,200,18,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.022,200,22,1280,GET,http://localhost:8000/api/catalog
0.029,200,29,1280,GET,http://localhost:8000/api/catalog
0.016,200,16,1280,GET,http://localhost:8000/api/catalog
0.018,200,18,1280,GET,http://localhost:8000/api/catalog
0.024,200,24,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.011,200,11,1280,GET,http://localhost:8000/api/catalog
0.036,200,36,1280,GET,http://localhost:8000/api/catalog
0.017,200,17,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.025,200,25,1280,GET,http://localhost:8000/api/catalog
0.011,200,11,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.010,200,10,1280,GET,http://localhost:8000/api/catalog
0.020,200,20,1280,GET,http://localhost:8000/api/catalog
0.024,200,24,1280,GET,http://localhost:8000/api/catalog
0.018,200,18,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.057,200,57,1280,GET,http://localhost:8000/api/catalog
0.018,200,18,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.020,200,20,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.010,200,10,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.018,200,18,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.012,200,12,1280,GET,http://localhost:8000/api/catalog
0.014,200,14,1280,GET,http://localhost:8000/api/catalog
0.040,200,40,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.016,200,16,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.017,200,17,1280,GET,http://localhost:8000/api/catalog
0.026,200,26,1280,GET,http://localhost:8000/api/catalog
0.020,200,20,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.020,200,20,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.020,200,20,1280,GET,http://localhost:8000/api/catalog
0.011,200,11,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.026,200,26,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.013,200,13,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.026,200,26,1280,GET,http://localhost:8000/api/catalog
0.019,200,19,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.023,200,23,1280,GET,http://localhost:8000/api/catalog
0.027,200,27,1280,GET,http://localhost:8000/api/catalog
0.011,200,11,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.024,200,24,1280,GET,http://localhost:8000/api/catalog
0.022,200,22,1280,GET,http://localhost:8000/api/catalog
0.007,200,7,1280,GET,http://localhost:8000/api/catalog
0.018,200,18,1280,GET,http://localhost:8000/api/catalog
0.049,200,49,1280,GET,http://localhost:8000/api/catalog
0.012,200,12,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.011,200,11,1280,GET,http://localhost:8000/api/catalog
0.028,200,28,1280,GET,http://localhost:8000/api/catalog
0.009,200,9,1280,GET,http://localhost:8000/api/catalog
0.015,200,15,1280,GET,http://localhost:8000/api/catalog
0.021,200,21,1280,GET,http://localhost:8000/api/catalog
0.029,200,29,1280,GET,http://localhost:8000/api/catalog
0.013,200,13,1280,GET,http://localhost:8000/api/catalog
0.006,200,6,1280,GET,http://localhost:8000/api/catalog
0.031,200,31,1280,GET,http://localhost:8000/api/catalog
0.005,200,5,1280,GET,http://localhost:8000/api/catalog
0.024,200,24,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.005,200,5,1280,GET,http://localhost:8000/api/catalog
0.005,200,5,1280,GET,http://localhost:8000/api/catalog
0.005,200,5,1280,GET,http://localhost:8000/api/catalog
0.024,200,24,1280,GET,http://localhost:8000/api/catalog
0.008,200,8,1280,GET,http://localhost:8000/api/catalog
0.013,200,13,1280,GET,http://localhost:8000/api/catalog
