item_key,field,price_value,currency,source_zip,source_path,json_path
default_price,default_price,19500,KRW,기본지식.zip,busbar_rules.json,default_price
items[0],unit_price,38000,KRW,backend.zip,tests/fixtures/bom_seed.json,items[0].unit_price
items[1],unit_price,22000,KRW,backend.zip,tests/fixtures/bom_seed.json,items[1].unit_price
items[2],unit_price,45000,KRW,backend.zip,tests/fixtures/bom_seed.json,items[2].unit_price
items[3],unit_price,52000,KRW,backend.zip,tests/fixtures/bom_seed.json,items[3].unit_price
[0],price,22000,KRW,backend.zip,tests/fixtures/inclosure_catalog.sample.json,[0].price
[1],price,28000,KRW,backend.zip,tests/fixtures/inclosure_catalog.sample.json,[1].price
[2],price,35000,KRW,backend.zip,tests/fixtures/inclosure_catalog.sample.json,[2].price
[3],price,42000,KRW,backend.zip,tests/fixtures/inclosure_catalog.sample.json,[3].price
[4],price,55000,KRW,backend.zip,tests/fixtures/inclosure_catalog.sample.json,[4].price
[5],price,78000,KRW,backend.zip,tests/fixtures/inclosure_catalog.sample.json,[5].price
[6],price,125000,KRW,backend.zip,tests/fixtures/inclosure_catalog.sample.json,[6].price
items.FUSE_HOLDER,unit_price,4500,KRW,backend.zip,tests/fixtures/pricebook.sample.json,items.FUSE_HOLDER.unit_price
items.TERM_BLOCK,unit_price,800,KRW,backend.zip,tests/fixtures/pricebook.sample.json,items.TERM_BLOCK.unit_price
items.PVC_DUCT,unit_price,6000,KRW,backend.zip,tests/fixtures/pricebook.sample.json,items.PVC_DUCT.unit_price
items.WIRE_SET,unit_price,12000,KRW,backend.zip,tests/fixtures/pricebook.sample.json,items.WIRE_SET.unit_price
items.PBL_ONOFF,unit_price,3500,KRW,backend.zip,tests/fixtures/pricebook.sample.json,items.PBL_ONOFF.unit_price
ENC-400x500x150,price,22000,KRW,backend.zip,tests/snapshots/enclosure_exact.expected.json,expected.match.price
ENC-800x1000x300,price,78000,KRW,backend.zip,tests/snapshots/enclosure_large.expected.json,expected.match.price
ENC-500x600x200,price,35000,KRW,backend.zip,tests/snapshots/enclosure_simple.expected.json,expected.match.price
catalog.breakers.items[0],price,3300,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[0].price
catalog.breakers.items[1],price,3300,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[1].price
catalog.breakers.items[2],price,6700,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[2].price
catalog.breakers.items[3],price,10500,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[3].price
catalog.breakers.items[4],price,12000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[4].price
catalog.breakers.items[5],price,15600,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[5].price
catalog.breakers.items[6],price,18000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[6].price
catalog.breakers.items[7],price,12500,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[7].price
catalog.breakers.items[8],price,17500,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[8].price
catalog.breakers.items[9],price,20000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[9].price
catalog.breakers.items[10],price,36000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[10].price
catalog.breakers.items[11],price,42000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[11].price
catalog.breakers.items[13],price,118000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[13].price
catalog.breakers.items[14],price,140000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[14].price
catalog.breakers.items[15],price,290000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[15].price
catalog.breakers.items[16],price,330000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[16].price
catalog.breakers.items[17],price,340000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[17].price
catalog.breakers.items[18],price,400000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[18].price
catalog.breakers.items[21],price,3800,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[21].price
catalog.breakers.items[22],price,3800,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[22].price
catalog.breakers.items[23],price,9400,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[23].price
catalog.breakers.items[24],price,17500,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[24].price
catalog.breakers.items[25],price,30000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[25].price
catalog.breakers.items[26],price,32000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[26].price
catalog.breakers.items[27],price,33400,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[27].price
catalog.breakers.items[28],price,32000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[28].price
catalog.breakers.items[29],price,34000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[29].price
catalog.breakers.items[30],price,36800,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[30].price
catalog.breakers.items[31],price,64400,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[31].price
catalog.breakers.items[32],price,73600,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[32].price
catalog.breakers.items[33],price,125000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[33].price
catalog.breakers.items[34],price,148000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[34].price
catalog.breakers.items[35],price,5000,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[35].price
catalog.breakers.items[36],price,19800,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[36].price
catalog.breakers.items[37],price,24800,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[37].price
catalog.breakers.items[38],price,23100,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[38].price
catalog.breakers.items[39],price,25080,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[39].price
catalog.breakers.items[40],price,31900,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[40].price
catalog.breakers.items[41],price,34100,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[41].price
catalog.breakers.items[42],price,37290,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[42].price
catalog.breakers.items[43],price,42240,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[43].price
catalog.breakers.items[44],price,24640,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[44].price
catalog.breakers.items[45],price,32560,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[45].price
catalog.breakers.items[46],price,39600,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[46].price
catalog.breakers.items[47],price,26950,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[47].price
catalog.breakers.items[48],price,35420,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[48].price
catalog.breakers.items[49],price,39600,KRW,data.zip,catalog/ai_estimation_core.json,catalog.breakers.items[49].price
